Codigo;Componente Curricular;Carga Horaria
1107007;ALGORITMOS DISTRIBUIDOS;60h
1107023;LINGUAGENS DE DESCRIÇÃO DE HARDWARE;60h
1107031;REDES DE ALTA VELOCIDADE;60h
1107058;CIRCUITOS INTEGRADOS DIGITAIS E FUNDAMENTOS DE PROJETOS VLSI;60h
1107063;SISTEMAS DISTRIBUIDOS;60h
1107064;SEGURANÇA COMPUTACIONAL;60h
1107066;INTELIGÊNCIA COMPUTACIONAL;60h
1107067;BANCOS DE DADOS NÃO CONVENCIONAIS;60h
1107070;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;60h
1107073;ESTUDO DIRIGIDO;30h
1107078;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS I;30h
1107090;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;15h
1107091;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;30h
1107093;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;15h
1107094;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;30h
1107095;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;45h
1107096;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;15h
1107097;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;30h
1107098;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;45h
1107099;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;15h
1107101;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;30h
1107102;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;45h
1107103;TÓPICOS ESPECIAIS EM SINAIS I;15h
1107104;TÓPICOS ESPECIAIS EM SINAIS I;30h
1107105;TÓPICOS ESPECIAIS EM SINAIS I;45h
1107106;TÓPICOS ESPECIAIS EM SINAIS I;60h
1107107;SISTEMAS EM CHIPS;60h
1107109;RECONHECIMENTO DE PADRÕES EM IMAGENS;60h
1107110;PROCESSAMENTO DE SINAIS EM SISTEMAS EMBARCADOS;60h
1107111;TÓPICOS ESPECIAIS EM SINAIS II;15h
1107112;TOPICOS ESPECIAIS EM SINAIS II;30h
1107113;TÓPICOS ESPECIAIS EM SINAIS II;45h
1107114;TOPICOS ESPECIAIS EM SINAIS II;60h
1107115;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS I;15h
1107116;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS I;30h
1107117;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS I;45h
1107118;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS I;60h
1107119;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS II;15h
1107120;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS II;30h
1107121;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS II;45h
1107122;TÓPICOS ESPECIAIS EM SISTEMAS DIGITAIS II;60h
1107124;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS I;30h
1107125;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS I;45h
1107126;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS I;60h
1107127;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS II;15h
1107128;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS II;30h
1107129;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS II;45h
1107130;TÓPICOS ESPECIAIS EM SISTEMAS GRÁFICOS II;60h
1107131;PESQUISA OPERACIONAL;60h
1107148;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;60h
1107149;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;60h
1107151;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;60h
1107152;CONCEPÇÃO ESTRUTURADA DE SISTEMAS DIGITAIS INTEGRAVEIS;60h
1108033;OTIMIZAÇÃO COMBINATÓRIA;60h
SINFO0087;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;45h
1107014;COMPUTAÇÃO GRÁFICA;60h
1107019;ENGENHARIA DE SOFTWARE;60h
1107021;INTELIGENCIA ARTIFICIAL;60h
1107032;REDES DE COMPUTADORES;60h
1107034;SISTEMAS MULTIMÍDIA;60h
1107055;ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS;60h
1107056;ARQUITETURAS DE COMPUTADORES;60h
1107057;TEORIA DA COMPUTAÇÃO;60h
1107153;PROCESSAMENTO DIGITAL DE IMAGENS;60h
SINFO0075;METODOLOGIA DA PESQUISA CIENTÍFICA;60h
